  team|ROUND(diffAvg, 4)
+ ARI|0.0
+ ATL|0.0
+ BAL|14550000.0
- ANA|0.0
- ARI|31283630.0
- ATL|19032288.0
- BAL|20746390.0
- BOS|24485500.0
+ BOS|15485500.0
- CHA|14480500.0
+ CHA|3750000.0
- CHN|24488000.0
+ CHN|24473000.0
- CIN|19490000.0
+ CIN|12031666.0
- CLE|24481800.0
+ CLE|4163800.0
+ COL|12428571.0
+ DET|0.0
+ HOU|3162000.0
+ KCA|6250000.0
+ LAA|0.0
- COL|19492500.0
- DET|29492500.0
- FLO|5250000.0
- HOU|27483300.0
- KCA|29799030.0
- LAA|24468000.0
- LAN|32492500.0
+ LAN|32490000.0
- MIA|8467500.0
- MIL|23487000.0
- MIN|22479300.0
+ MIA|2830000.0
+ MIL|0.0
+ MIN|0.0
- NYA|24492500.0
+ NYA|14492500.0
- NYN|26810800.0
- OAK|26804646.0
- PHI|21982500.0
- PIT|12692233.0
+ NYN|26792671.0
+ OAK|0.0
+ PHI|0.0
+ PIT|6316667.0
- SDN|21613100.0
+ SDN|826100.0
- SEA|24257143.0
- SFN|20288333.0
- SLN|24461000.0
- TBA|29480800.0
+ SEA|0.0
+ SFN|14577778.0
+ SLN|0.0
+ TBA|0.0
- TEX|22000000.0
+ TEX|14500000.0
- TOR|14484100.0
- WAS|20562857.0
+ TOR|11132200.0
+ WAS|17142857.0
